Cmdline: /system/bin/simpleperf record --app com.dualboot.apps.beach --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -p 10208 -e cpu-clock:u -f 500 --call-graph fp --duration 12
Arch: arm64
Event: cpu-clock:u (type 1, config 0)
Samples: 4693
Event count: 9386000000

Overhead  Symbol
0.06%     libdbgengine.so[+175738]
0.06%     libdbgengine.so[+17575c]
0.06%     libdbgengine.so[+175768]
0.06%     libdbgengine.so[+17578c]
0.06%     libdbgengine.so[+175814]
0.06%     libdbgengine.so[+1759b4]
0.06%     libdbgengine.so[+1759e4]
0.06%     libdbgengine.so[+1759f4]
0.06%     libdbgengine.so[+1761c0]
0.06%     libdbgengine.so[+1764ac]
0.06%     libdbgengine.so[+1764d8]
0.06%     libdbgengine.so[+1764fc]
0.06%     libdbgengine.so[+176508]
0.06%     libdbgengine.so[+17652c]
0.06%     libdbgengine.so[+17a18c]
0.06%     libdbgengine.so[+2283a4]
0.06%     page_collection_unlock_arm
0.06%     qemu_ram_addr_from_host_arm
0.06%     unknown[+7480259108]
0.06%     void art::StackVisitor::WalkStack<(art::StackVisitor::CountTransitions)0, false>(bool)
0.04%     !!!0000!07584c903269e169fb789392923d44!0c393b63cf!
0.04%     !!!0000!0e6b00ab8c4b112f9f6effa6a8b2b5!0c393b63cf!
0.04%     !!!0000!28fb45b73653de16a0d74984cdcd2d!0c393b63cf!
0.04%     !!!0000!5da8efcfe93f7a45832c415bc2105c!0c393b63cf!
0.04%     !!!0000!61bc7b0de892600069dcd23dd14db9!0c393b63cf!
0.04%     !!!0000!6b200851123c7898055fe62ff9f71f!0c393b63cf!
0.04%     !!!0000!77df12deb6a622478efa8fb9929034!0c393b63cf!
0.04%     !!!0000!804c660e2d6053be57921a5fd6d4bb!0c393b63cf!
0.04%     !!!0000!843f679b458576b51c4caa24683f96!0c393b63cf!
0.04%     !!!0000!993d4c3e5959039dbed0a8c1b75359!0c393b63cf!
0.04%     !!!0000!9c0715a0352375a9ec27cf88ce6933!0c393b63cf!
0.04%     !!!0000!ae9df5840a3b187aa9f98544704c1f!0c393b63cf!
0.04%     !!!0000!af3c2d34f46cdecdc73a82575a1394!0c393b63cf!
0.04%     !!!0000!bd0ff5577b2d5c0b84b4e54d35b71d!0c393b63cf!
0.04%     !!!0000!c2fc004ad9b050a49124f7c36484b4!0c393b63cf!
0.04%     !!!0000!c441fda5cce3b6ed49be7fa818989c!0c393b63cf!
0.04%     !!!0000!d26ad1f31baf578cc7494d4764b29e!0c393b63cf!
0.04%     !!!0000!d335f3ec45fabc7e8d6a9a33a3a791!0c393b63cf!
0.04%     !!!0000!d48df27f9315acdb1b6507b47b5bb5!0c393b63cf!
0.04%     !!!0000!de4116e5fc3c58bcd0ac4ae2b56ab9!0c393b63cf!
